Dataset,Source,File Path,Download Date,Years,Format,Size,Status
HPI All-Transactions Metro,FHFA,fhfa/hpi_at_metro.txt,25-Jul-2026,1975-2026Q1,TXT,4 MB,Complete
HPI Expanded-Data US & Census Divisions,FHFA,fhfa/hpi_exp_us_and_census.txt,25-Jul-2026,1975-2026Q1,TXT,40 KB,Complete
HPI Expanded-Data by State,FHFA,fhfa/hpi_exp_state.txt,25-Jul-2026,1975-2026Q1,TXT,261 KB,Complete
HPI Purchase-Only Metro,FHFA,fhfa/hpi_po_metro.txt,25-Jul-2026,1975-2026Q1,TXT,803 KB,Complete
Fair Market Rents (County Level FY2026),HUD,NEEDS MANUAL DOWNLOAD,25-Jul-2026,FY2026,XLSX,358 KB,Pending - JS download
FMR History (1983-Present),HUD,NEEDS MANUAL DOWNLOAD,25-Jul-2026,1983-2026,CSV/XLSX,4-8 MB,Pending - JS download
Airports,OurAirports/FAA,faa/airports.csv,25-Jul-2026,Current,CSV,12.1 MB,Complete
Runways,OurAirports/FAA,faa/runways.csv,25-Jul-2026,Current,CSV,3.8 MB,Complete
Airport Frequencies,OurAirports/FAA,faa/airport-frequencies.csv,25-Jul-2026,Current,CSV,1.2 MB,Complete
NTD Service by Mode 2024,FTA/DOT,ntd/ntd_service_by_mode_2024.csv,25-Jul-2026,2024,CSV,325 KB,Complete
NTD Service by Agency 2024,FTA/DOT,ntd/ntd_service_by_agency_2024.csv,25-Jul-2026,2024,CSV,268 KB,Complete
Public Road Length 2024 (HM-20),FHWA,fhwa/hm20_public_road_length_2024.xlsx,25-Jul-2026,2024,XLSX,32 KB,Complete
Vehicle Miles Traveled 2024 (VM-2),FHWA,fhwa/vm2_vehicle_miles_2024.xlsx,25-Jul-2026,2024,XLSX,56 KB,Complete
Federal-Aid Highway Length 2024 (HM-15),FHWA,fhwa/hm15_federal_aid_highway_2024.xlsx,25-Jul-2026,2024,XLSX,34 KB,Complete
Building Permits State Annual 2019,Census,transportation/building_permits_state_annual_2019.xls,25-Jul-2026,2019,XLS,41 KB,Complete
Building Permits State Annual 2020,Census,transportation/building_permits_state_annual_2020.xls,25-Jul-2026,2020,XLS,40 KB,Complete
Building Permits State Annual 2021,Census,transportation/building_permits_state_annual_2021.xls,25-Jul-2026,2021,XLS,19 KB,Complete
Building Permits State Units 2015,Census,transportation/bps_state_units_2015.txt,25-Jul-2026,2015,TXT,6 KB,Complete
Building Permits State Units 2018,Census,transportation/bps_state_units_2018.txt,25-Jul-2026,2018,TXT,6 KB,Complete
Building Permits State Valuation 2018,Census,transportation/bps_state_valuation_2018.txt,25-Jul-2026,2018,TXT,6 KB,Complete
