series,year,month,avg_weekly_earnings
Not Seasonally Adjusted,2016,01,21.42
Not Seasonally Adjusted,2016,02,21.41
Not Seasonally Adjusted,2016,03,21.42
Not Seasonally Adjusted,2016,04,21.51
Not Seasonally Adjusted,2016,05,21.52
Not Seasonally Adjusted,2016,06,21.36
Not Seasonally Adjusted,2016,07,21.47
Not Seasonally Adjusted,2016,08,21.45
Not Seasonally Adjusted,2016,09,21.64
Not Seasonally Adjusted,2016,10,21.80
Not Seasonally Adjusted,2016,11,21.69
Not Seasonally Adjusted,2016,12,21.70
Not Seasonally Adjusted,2017,01,22.00
Not Seasonally Adjusted,2017,02,21.92
Not Seasonally Adjusted,2017,03,21.90
Not Seasonally Adjusted,2017,04,22.09
Not Seasonally Adjusted,2017,05,21.91
Not Seasonally Adjusted,2017,06,21.86
Not Seasonally Adjusted,2017,07,22.05
Not Seasonally Adjusted,2017,08,21.96
Not Seasonally Adjusted,2017,09,22.20
Not Seasonally Adjusted,2017,10,22.27
Not Seasonally Adjusted,2017,11,22.19
Not Seasonally Adjusted,2017,12,22.25
Not Seasonally Adjusted,2018,01,22.45
Not Seasonally Adjusted,2018,02,22.46
Not Seasonally Adjusted,2018,03,22.50
Not Seasonally Adjusted,2018,04,22.72
Not Seasonally Adjusted,2018,05,22.55
Not Seasonally Adjusted,2018,06,22.50
Not Seasonally Adjusted,2018,07,22.68
Not Seasonally Adjusted,2018,08,22.64
Not Seasonally Adjusted,2018,09,22.97
Not Seasonally Adjusted,2018,10,22.90
Not Seasonally Adjusted,2018,11,22.96
Not Seasonally Adjusted,2018,12,23.18
Not Seasonally Adjusted,2019,01,23.21
Not Seasonally Adjusted,2019,02,23.25
Not Seasonally Adjusted,2019,03,23.31
Not Seasonally Adjusted,2019,04,23.39
Not Seasonally Adjusted,2019,05,23.36
Not Seasonally Adjusted,2019,06,23.41
Not Seasonally Adjusted,2019,07,23.42
Not Seasonally Adjusted,2019,08,23.49
Not Seasonally Adjusted,2019,09,23.81
Not Seasonally Adjusted,2019,10,23.76
Not Seasonally Adjusted,2019,11,23.78
Not Seasonally Adjusted,2019,12,23.92
Not Seasonally Adjusted,2020,01,23.97
Not Seasonally Adjusted,2020,02,24.16
Not Seasonally Adjusted,2020,03,24.27
Not Seasonally Adjusted,2020,04,25.22
Not Seasonally Adjusted,2020,05,24.95
Not Seasonally Adjusted,2020,06,24.61
Not Seasonally Adjusted,2020,07,24.56
Not Seasonally Adjusted,2020,08,24.80
Not Seasonally Adjusted,2020,09,24.80
Not Seasonally Adjusted,2020,10,24.84
Not Seasonally Adjusted,2020,11,25.01
Not Seasonally Adjusted,2020,12,25.12
Not Seasonally Adjusted,2021,01,25.24
Not Seasonally Adjusted,2021,02,25.27
Not Seasonally Adjusted,2021,03,25.33
