series,year,month,cpi_value
Not Seasonally Adjusted,2016,01,236.916
Not Seasonally Adjusted,2016,02,237.111
Not Seasonally Adjusted,2016,03,238.132
Not Seasonally Adjusted,2016,04,239.261
Not Seasonally Adjusted,2016,05,240.229
Not Seasonally Adjusted,2016,06,241.018
Not Seasonally Adjusted,2016,07,240.628
Not Seasonally Adjusted,2016,08,240.849
Not Seasonally Adjusted,2016,09,241.428
Not Seasonally Adjusted,2016,10,241.729
Not Seasonally Adjusted,2016,11,241.353
Not Seasonally Adjusted,2016,12,241.432
Not Seasonally Adjusted,2017,01,242.839
Not Seasonally Adjusted,2017,02,243.603
Not Seasonally Adjusted,2017,03,243.801
Not Seasonally Adjusted,2017,04,244.524
Not Seasonally Adjusted,2017,05,244.733
Not Seasonally Adjusted,2017,06,244.955
Not Seasonally Adjusted,2017,07,244.786
Not Seasonally Adjusted,2017,08,245.519
Not Seasonally Adjusted,2017,09,246.819
Not Seasonally Adjusted,2017,10,246.663
Not Seasonally Adjusted,2017,11,246.669
Not Seasonally Adjusted,2017,12,246.524
Not Seasonally Adjusted,2018,01,247.867
Not Seasonally Adjusted,2018,02,248.991
Not Seasonally Adjusted,2018,03,249.554
Not Seasonally Adjusted,2018,04,250.546
Not Seasonally Adjusted,2018,05,251.588
Not Seasonally Adjusted,2018,06,251.989
Not Seasonally Adjusted,2018,07,252.006
Not Seasonally Adjusted,2018,08,252.146
Not Seasonally Adjusted,2018,09,252.439
Not Seasonally Adjusted,2018,10,252.885
Not Seasonally Adjusted,2018,11,252.038
Not Seasonally Adjusted,2018,12,251.233
Not Seasonally Adjusted,2019,01,251.712
Not Seasonally Adjusted,2019,02,252.776
Not Seasonally Adjusted,2019,03,254.202
Not Seasonally Adjusted,2019,04,255.548
Not Seasonally Adjusted,2019,05,256.092
Not Seasonally Adjusted,2019,06,256.143
Not Seasonally Adjusted,2019,07,256.571
Not Seasonally Adjusted,2019,08,256.558
Not Seasonally Adjusted,2019,09,256.759
Not Seasonally Adjusted,2019,10,257.346
Not Seasonally Adjusted,2019,11,257.208
Not Seasonally Adjusted,2019,12,256.974
Not Seasonally Adjusted,2020,01,257.971
Not Seasonally Adjusted,2020,02,258.678
Not Seasonally Adjusted,2020,03,258.115
Not Seasonally Adjusted,2020,04,256.389
Not Seasonally Adjusted,2020,05,256.394
Not Seasonally Adjusted,2020,06,257.797
Not Seasonally Adjusted,2020,07,259.101
Not Seasonally Adjusted,2020,08,259.918
Not Seasonally Adjusted,2020,09,260.280
Not Seasonally Adjusted,2020,10,260.388
Not Seasonally Adjusted,2020,11,260.229
Not Seasonally Adjusted,2020,12,260.474
Not Seasonally Adjusted,2021,01,261.582
Not Seasonally Adjusted,2021,02,263.014
Not Seasonally Adjusted,2021,03,264.877
Not Seasonally Adjusted,2021,04,267.054
Not Seasonally Adjusted,2021,05,269.195
Not Seasonally Adjusted,2021,06,271.696
Not Seasonally Adjusted,2021,07,273.003
Not Seasonally Adjusted,2021,08,273.567
Not Seasonally Adjusted,2021,09,274.310
Not Seasonally Adjusted,2021,10,276.589
Not Seasonally Adjusted,2021,11,277.948
Not Seasonally Adjusted,2021,12,278.802
Not Seasonally Adjusted,2022,01,281.148
Not Seasonally Adjusted,2022,02,283.716
Not Seasonally Adjusted,2022,03,287.504
Not Seasonally Adjusted,2022,04,289.109
Not Seasonally Adjusted,2022,05,292.296
Not Seasonally Adjusted,2022,06,296.311
Not Seasonally Adjusted,2022,07,296.276
Not Seasonally Adjusted,2022,08,296.171
Not Seasonally Adjusted,2022,09,296.808
Not Seasonally Adjusted,2022,10,298.012
Not Seasonally Adjusted,2022,11,297.711
Not Seasonally Adjusted,2022,12,296.797
Not Seasonally Adjusted,2023,01,299.170
Not Seasonally Adjusted,2023,02,300.840
Not Seasonally Adjusted,2023,03,301.836
Not Seasonally Adjusted,2023,04,303.363
Not Seasonally Adjusted,2023,05,304.127
Not Seasonally Adjusted,2023,06,305.109
Not Seasonally Adjusted,2023,07,305.691
Not Seasonally Adjusted,2023,08,307.026
Not Seasonally Adjusted,2023,09,307.789
Not Seasonally Adjusted,2023,10,307.671
Not Seasonally Adjusted,2023,11,307.051
Not Seasonally Adjusted,2023,12,306.746
Not Seasonally Adjusted,2024,01,308.417
Not Seasonally Adjusted,2024,02,310.326
Not Seasonally Adjusted,2024,03,312.332
Not Seasonally Adjusted,2024,04,313.548
Not Seasonally Adjusted,2024,05,314.069
Not Seasonally Adjusted,2024,06,314.175
Not Seasonally Adjusted,2024,07,314.540
Not Seasonally Adjusted,2024,08,314.796
Not Seasonally Adjusted,2024,09,315.301
Not Seasonally Adjusted,2024,10,315.664
Not Seasonally Adjusted,2024,11,315.493
Not Seasonally Adjusted,2024,12,315.605
Not Seasonally Adjusted,2025,01,317.671
Not Seasonally Adjusted,2025,02,319.082
Not Seasonally Adjusted,2025,03,319.799
Not Seasonally Adjusted,2025,04,320.795
Not Seasonally Adjusted,2025,05,321.465
Not Seasonally Adjusted,2025,06,322.561
Not Seasonally Adjusted,2025,07,323.048
Not Seasonally Adjusted,2025,08,323.976
Not Seasonally Adjusted,2025,09,324.800
Not Seasonally Adjusted,2025,10,-
Not Seasonally Adjusted,2025,11,324.122
Not Seasonally Adjusted,2025,12,324.054
Seasonally Adjusted,2016,01,237.652
Seasonally Adjusted,2016,02,237.336
Seasonally Adjusted,2016,03,238.080
Seasonally Adjusted,2016,04,238.992
Seasonally Adjusted,2016,05,239.557
Seasonally Adjusted,2016,06,240.222
Seasonally Adjusted,2016,07,240.101
Seasonally Adjusted,2016,08,240.545
Seasonally Adjusted,2016,09,241.176
Seasonally Adjusted,2016,10,241.741
Seasonally Adjusted,2016,11,242.026
Seasonally Adjusted,2016,12,242.637
Seasonally Adjusted,2017,01,243.618
Seasonally Adjusted,2017,02,244.006
Seasonally Adjusted,2017,03,243.892
Seasonally Adjusted,2017,04,244.193
Seasonally Adjusted,2017,05,244.004
Seasonally Adjusted,2017,06,244.163
Seasonally Adjusted,2017,07,244.243
Seasonally Adjusted,2017,08,245.183
Seasonally Adjusted,2017,09,246.435
Seasonally Adjusted,2017,10,246.626
Seasonally Adjusted,2017,11,247.284
Seasonally Adjusted,2017,12,247.805
Seasonally Adjusted,2018,01,248.859
Seasonally Adjusted,2018,02,249.529
Seasonally Adjusted,2018,03,249.577
Seasonally Adjusted,2018,04,250.227
Seasonally Adjusted,2018,05,250.792
Seasonally Adjusted,2018,06,251.018
Seasonally Adjusted,2018,07,251.214
Seasonally Adjusted,2018,08,251.663
Seasonally Adjusted,2018,09,252.182
Seasonally Adjusted,2018,10,252.772
Seasonally Adjusted,2018,11,252.594
Seasonally Adjusted,2018,12,252.767
Seasonally Adjusted,2019,01,252.561
Seasonally Adjusted,2019,02,253.319
Seasonally Adjusted,2019,03,254.277
Seasonally Adjusted,2019,04,255.233
Seasonally Adjusted,2019,05,255.296
Seasonally Adjusted,2019,06,255.213
Seasonally Adjusted,2019,07,255.802
Seasonally Adjusted,2019,08,256.036
Seasonally Adjusted,2019,09,256.430
Seasonally Adjusted,2019,10,257.155
Seasonally Adjusted,2019,11,257.879
Seasonally Adjusted,2019,12,258.630
Seasonally Adjusted,2020,01,259.127
