industry,year,month,employment_thousands
Construction,2016,01,6631
Construction,2016,02,6640
Construction,2016,03,6678
Construction,2016,04,6702
Construction,2016,05,6689
Construction,2016,06,6701
Construction,2016,07,6735
Construction,2016,08,6736
Construction,2016,09,6768
Construction,2016,10,6799
Construction,2016,11,6823
Construction,2016,12,6818
Construction,2017,01,6840
Construction,2017,02,6881
Construction,2017,03,6902
Construction,2017,04,6916
Construction,2017,05,6931
Construction,2017,06,6962
Construction,2017,07,6968
Construction,2017,08,7002
Construction,2017,09,7013
Construction,2017,10,7031
Construction,2017,11,7068
Construction,2017,12,7091
Construction,2018,01,7093
Construction,2018,02,7184
Construction,2018,03,7194
Construction,2018,04,7212
Construction,2018,05,7274
Construction,2018,06,7292
Construction,2018,07,7318
Construction,2018,08,7347
Construction,2018,09,7375
Construction,2018,10,7389
Construction,2018,11,7386
Construction,2018,12,7396
Construction,2019,01,7425
Construction,2019,02,7395
Construction,2019,03,7425
Construction,2019,04,7468
Construction,2019,05,7478
Construction,2019,06,7502
Construction,2019,07,7526
Construction,2019,08,7530
Construction,2019,09,7547
Construction,2019,10,7553
Construction,2019,11,7541
Construction,2019,12,7527
Construction,2020,01,7575
Construction,2020,02,7610
Construction,2020,03,7541
Construction,2020,04,6522
Construction,2020,05,7004
Construction,2020,06,7159
Construction,2020,07,7196
Construction,2020,08,7226
Construction,2020,09,7253
Construction,2020,10,7301
Construction,2020,11,7321
Construction,2020,12,7357
Construction,2021,01,7362
Construction,2021,02,7278
Construction,2021,03,7399
Construction,2021,04,7400
Construction,2021,05,7391
Construction,2021,06,7393
Construction,2021,07,7425
Construction,2021,08,7432
Construction,2021,09,7484
Construction,2021,10,7518
Construction,2021,11,7562
Construction,2021,12,7595
Construction,2022,01,7595
Construction,2022,02,7651
Construction,2022,03,7692
Construction,2022,04,7698
Construction,2022,05,7738
Construction,2022,06,7761
Construction,2022,07,7792
Construction,2022,08,7801
Construction,2022,09,7832
Construction,2022,10,7847
Construction,2022,11,7863
Construction,2022,12,7885
Construction,2023,01,7932
Construction,2023,02,7943
Construction,2023,03,7926
Construction,2023,04,7955
Construction,2023,05,7965
Construction,2023,06,8006
Construction,2023,07,8016
Construction,2023,08,8042
Construction,2023,09,8053
Construction,2023,10,8080
Construction,2023,11,8088
Construction,2023,12,8100
Construction,2024,01,8123
Construction,2024,02,8132
Construction,2024,03,8164
Construction,2024,04,8170
Construction,2024,05,8176
Construction,2024,06,8196
Construction,2024,07,8208
Construction,2024,08,8236
Construction,2024,09,8254
Construction,2024,10,8262
Construction,2024,11,8267
Construction,2024,12,8276
Construction,2025,01,8264
Construction,2025,02,8267
Construction,2025,03,8273
Construction,2025,04,8271
Construction,2025,05,8269
Construction,2025,06,8267
Construction,2025,07,8261
Construction,2025,08,8239
Construction,2025,09,8255
Construction,2025,10,8243
Construction,2025,11,8279
Construction,2025,12,8272
Education and Health Services,2016,01,22348
Education and Health Services,2016,02,22401
Education and Health Services,2016,03,22447
Education and Health Services,2016,04,22503
Education and Health Services,2016,05,22564
Education and Health Services,2016,06,22615
Education and Health Services,2016,07,22669
Education and Health Services,2016,08,22715
Education and Health Services,2016,09,22779
Education and Health Services,2016,10,22827
Education and Health Services,2016,11,22865
Education and Health Services,2016,12,22928
Education and Health Services,2017,01,22941
Education and Health Services,2017,02,23018
Education and Health Services,2017,03,23047
Education and Health Services,2017,04,23105
Education and Health Services,2017,05,23140
Education and Health Services,2017,06,23165
Education and Health Services,2017,07,23232
Education and Health Services,2017,08,23269
Education and Health Services,2017,09,23295
Education and Health Services,2017,10,23313
Education and Health Services,2017,11,23354
Education and Health Services,2017,12,23383
Education and Health Services,2018,01,23438
Education and Health Services,2018,02,23494
Education and Health Services,2018,03,23523
Education and Health Services,2018,04,23546
Education and Health Services,2018,05,23583
Education and Health Services,2018,06,23615
Education and Health Services,2018,07,23643
Education and Health Services,2018,08,23701
Education and Health Services,2018,09,23709
Education and Health Services,2018,10,23756
Education and Health Services,2018,11,23768
Education and Health Services,2018,12,23852
Education and Health Services,2019,01,23902
Education and Health Services,2019,02,23923
Education and Health Services,2019,03,23988
Education and Health Services,2019,04,24054
