series,year,quarter,eci_value
Not Seasonally Adjusted,2016,Q01,126.0
Not Seasonally Adjusted,2016,Q02,126.7
Not Seasonally Adjusted,2016,Q03,127.5
Not Seasonally Adjusted,2016,Q04,127.9
Not Seasonally Adjusted,2017,Q01,129.0
Not Seasonally Adjusted,2017,Q02,129.7
Not Seasonally Adjusted,2017,Q03,130.7
Not Seasonally Adjusted,2017,Q04,131.2
Not Seasonally Adjusted,2018,Q01,132.5
Not Seasonally Adjusted,2018,Q02,133.3
Not Seasonally Adjusted,2018,Q03,134.4
Not Seasonally Adjusted,2018,Q04,135.0
Not Seasonally Adjusted,2019,Q01,136.2
Not Seasonally Adjusted,2019,Q02,136.9
Not Seasonally Adjusted,2019,Q03,138.1
Not Seasonally Adjusted,2019,Q04,138.7
Not Seasonally Adjusted,2020,Q01,140.0
Not Seasonally Adjusted,2020,Q02,140.6
Not Seasonally Adjusted,2020,Q03,141.4
Not Seasonally Adjusted,2020,Q04,142.2
Not Seasonally Adjusted,2021,Q01,143.7
Not Seasonally Adjusted,2021,Q02,144.7
Not Seasonally Adjusted,2021,Q03,146.7
Not Seasonally Adjusted,2021,Q04,147.9
Not Seasonally Adjusted,2022,Q01,150.2
Not Seasonally Adjusted,2022,Q02,152.1
Not Seasonally Adjusted,2022,Q03,154.1
Not Seasonally Adjusted,2022,Q04,155.4
Not Seasonally Adjusted,2023,Q01,157.4
Not Seasonally Adjusted,2023,Q02,159.0
Not Seasonally Adjusted,2023,Q03,160.8
Not Seasonally Adjusted,2023,Q04,161.9
Not Seasonally Adjusted,2024,Q01,164.0
Not Seasonally Adjusted,2024,Q02,165.5
Not Seasonally Adjusted,2024,Q03,167.0
Not Seasonally Adjusted,2024,Q04,168.0
Not Seasonally Adjusted,2025,Q01,169.9
Not Seasonally Adjusted,2025,Q02,171.444
Not Seasonally Adjusted,2025,Q03,172.905
Not Seasonally Adjusted,2025,Q04,173.642
Seasonally Adjusted,2016,Q01,126.0
Seasonally Adjusted,2016,Q02,126.7
Seasonally Adjusted,2016,Q03,127.4
Seasonally Adjusted,2016,Q04,128.1
Seasonally Adjusted,2017,Q01,128.9
Seasonally Adjusted,2017,Q02,129.7
Seasonally Adjusted,2017,Q03,130.6
Seasonally Adjusted,2017,Q04,131.4
Seasonally Adjusted,2018,Q01,132.4
Seasonally Adjusted,2018,Q02,133.3
Seasonally Adjusted,2018,Q03,134.3
Seasonally Adjusted,2018,Q04,135.3
Seasonally Adjusted,2019,Q01,136.1
Seasonally Adjusted,2019,Q02,137.0
Seasonally Adjusted,2019,Q03,138.0
Seasonally Adjusted,2019,Q04,138.9
Seasonally Adjusted,2020,Q01,140.0
Seasonally Adjusted,2020,Q02,140.7
Seasonally Adjusted,2020,Q03,141.4
Seasonally Adjusted,2020,Q04,142.5
Seasonally Adjusted,2021,Q01,143.7
Seasonally Adjusted,2021,Q02,144.7
Seasonally Adjusted,2021,Q03,146.5
Seasonally Adjusted,2021,Q04,148.2
Seasonally Adjusted,2022,Q01,150.1
Seasonally Adjusted,2022,Q02,152.1
Seasonally Adjusted,2022,Q03,153.9
Seasonally Adjusted,2022,Q04,155.7
Seasonally Adjusted,2023,Q01,157.3
Seasonally Adjusted,2023,Q02,159.0
Seasonally Adjusted,2023,Q03,160.7
Seasonally Adjusted,2023,Q04,162.2
Seasonally Adjusted,2024,Q01,163.9
Seasonally Adjusted,2024,Q02,165.4
Seasonally Adjusted,2024,Q03,166.8
Seasonally Adjusted,2024,Q04,168.3
Seasonally Adjusted,2025,Q01,169.8
Seasonally Adjusted,2025,Q02,171.380
Seasonally Adjusted,2025,Q03,172.752
Seasonally Adjusted,2025,Q04,174.047
