series,year,month,ppi_value
Not Seasonally Adjusted,2016,01,109.7
Not Seasonally Adjusted,2016,02,109.6
Not Seasonally Adjusted,2016,03,109.7
Not Seasonally Adjusted,2016,04,110.0
Not Seasonally Adjusted,2016,05,110.2
Not Seasonally Adjusted,2016,06,110.8
Not Seasonally Adjusted,2016,07,110.8
Not Seasonally Adjusted,2016,08,110.5
Not Seasonally Adjusted,2016,09,110.6
Not Seasonally Adjusted,2016,10,111.0
Not Seasonally Adjusted,2016,11,110.8
Not Seasonally Adjusted,2016,12,111.0
Not Seasonally Adjusted,2017,01,111.6
Not Seasonally Adjusted,2017,02,111.8
Not Seasonally Adjusted,2017,03,112.1
Not Seasonally Adjusted,2017,04,112.7
Not Seasonally Adjusted,2017,05,112.7
Not Seasonally Adjusted,2017,06,112.9
Not Seasonally Adjusted,2017,07,113.0
Not Seasonally Adjusted,2017,08,113.2
Not Seasonally Adjusted,2017,09,113.5
Not Seasonally Adjusted,2017,10,114.1
Not Seasonally Adjusted,2017,11,114.1
Not Seasonally Adjusted,2017,12,113.8
Not Seasonally Adjusted,2018,01,114.5
Not Seasonally Adjusted,2018,02,114.9
Not Seasonally Adjusted,2018,03,115.4
Not Seasonally Adjusted,2018,04,115.7
Not Seasonally Adjusted,2018,05,116.2
Not Seasonally Adjusted,2018,06,116.6
Not Seasonally Adjusted,2018,07,116.8
Not Seasonally Adjusted,2018,08,116.6
Not Seasonally Adjusted,2018,09,116.6
Not Seasonally Adjusted,2018,10,117.6
Not Seasonally Adjusted,2018,11,117.1
Not Seasonally Adjusted,2018,12,116.8
Not Seasonally Adjusted,2019,01,116.7
Not Seasonally Adjusted,2019,02,117.1
Not Seasonally Adjusted,2019,03,117.7
Not Seasonally Adjusted,2019,04,118.5
Not Seasonally Adjusted,2019,05,118.6
Not Seasonally Adjusted,2019,06,118.5
Not Seasonally Adjusted,2019,07,118.7
Not Seasonally Adjusted,2019,08,118.8
Not Seasonally Adjusted,2019,09,118.3
Not Seasonally Adjusted,2019,10,118.8
Not Seasonally Adjusted,2019,11,118.3
Not Seasonally Adjusted,2019,12,118.4
Not Seasonally Adjusted,2020,01,119.0
Not Seasonally Adjusted,2020,02,118.4
Not Seasonally Adjusted,2020,03,118.1
Not Seasonally Adjusted,2020,04,116.7
Not Seasonally Adjusted,2020,05,117.3
Not Seasonally Adjusted,2020,06,117.7
Not Seasonally Adjusted,2020,07,118.4
Not Seasonally Adjusted,2020,08,118.5
Not Seasonally Adjusted,2020,09,118.7
Not Seasonally Adjusted,2020,10,119.5
Not Seasonally Adjusted,2020,11,119.3
Not Seasonally Adjusted,2020,12,119.4
Not Seasonally Adjusted,2021,01,120.9
Not Seasonally Adjusted,2021,02,121.9
Not Seasonally Adjusted,2021,03,123.0
Not Seasonally Adjusted,2021,04,124.3
Not Seasonally Adjusted,2021,05,125.5
Not Seasonally Adjusted,2021,06,126.6
Not Seasonally Adjusted,2021,07,127.824
Not Seasonally Adjusted,2021,08,128.755
Not Seasonally Adjusted,2021,09,129.116
Not Seasonally Adjusted,2021,10,130.097
Not Seasonally Adjusted,2021,11,131.090
Not Seasonally Adjusted,2021,12,131.344
Not Seasonally Adjusted,2022,01,133.074
Not Seasonally Adjusted,2022,02,134.581
Not Seasonally Adjusted,2022,03,137.341
Not Seasonally Adjusted,2022,04,138.179
Not Seasonally Adjusted,2022,05,139.419
Not Seasonally Adjusted,2022,06,140.819
Not Seasonally Adjusted,2022,07,140.284
Not Seasonally Adjusted,2022,08,139.965
Not Seasonally Adjusted,2022,09,140.066
Not Seasonally Adjusted,2022,10,140.740
Not Seasonally Adjusted,2022,11,140.785
