state,year,month,unemployment_rate
Alabama,2016,01,5.9
Alabama,2016,02,5.9
Alabama,2016,03,5.9
Alabama,2016,04,5.8
Alabama,2016,05,5.8
Alabama,2016,06,5.8
Alabama,2016,07,5.8
Alabama,2016,08,5.8
Alabama,2016,09,5.8
Alabama,2016,10,5.8
Alabama,2016,11,5.7
Alabama,2016,12,5.6
Alabama,2017,01,5.4
Alabama,2017,02,5.2
Alabama,2017,03,5.0
Alabama,2017,04,4.8
Alabama,2017,05,4.6
Alabama,2017,06,4.5
Alabama,2017,07,4.3
Alabama,2017,08,4.2
Alabama,2017,09,4.1
Alabama,2017,10,4.0
Alabama,2017,11,4.0
Alabama,2017,12,4.0
Alabama,2018,01,4.0
Alabama,2018,02,4.0
Alabama,2018,03,4.0
Alabama,2018,04,4.0
Alabama,2018,05,4.0
Alabama,2018,06,4.0
Alabama,2018,07,3.9
Alabama,2018,08,3.9
Alabama,2018,09,3.9
Alabama,2018,10,3.8
Alabama,2018,11,3.8
Alabama,2018,12,3.8
Alabama,2019,01,3.7
Alabama,2019,02,3.6
Alabama,2019,03,3.4
Alabama,2019,04,3.3
Alabama,2019,05,3.2
Alabama,2019,06,3.0
Alabama,2019,07,3.0
Alabama,2019,08,3.0
Alabama,2019,09,3.0
Alabama,2019,10,3.0
Alabama,2019,11,3.0
Alabama,2019,12,3.1
Alabama,2020,01,3.2
Alabama,2020,02,3.3
Alabama,2020,03,3.4
Alabama,2020,04,13.8
Alabama,2020,05,10.4
Alabama,2020,06,8.6
Alabama,2020,07,7.5
Alabama,2020,08,6.3
Alabama,2020,09,5.9
Alabama,2020,10,5.2
Alabama,2020,11,4.8
Alabama,2020,12,4.5
Alabama,2021,01,4.2
Alabama,2021,02,3.9
Alabama,2021,03,3.8
Alabama,2021,04,3.7
Alabama,2021,05,3.6
Alabama,2021,06,3.5
Alabama,2021,07,3.4
Alabama,2021,08,3.2
Alabama,2021,09,3.0
Alabama,2021,10,2.9
Alabama,2021,11,2.8
Alabama,2021,12,2.7
Alabama,2022,01,2.6
Alabama,2022,02,2.6
Alabama,2022,03,2.6
Alabama,2022,04,2.6
Alabama,2022,05,2.6
Alabama,2022,06,2.6
Alabama,2022,07,2.6
Alabama,2022,08,2.6
Alabama,2022,09,2.5
Alabama,2022,10,2.5
Alabama,2022,11,2.4
Alabama,2022,12,2.3
Alabama,2023,01,2.3
Alabama,2023,02,2.3
Alabama,2023,03,2.3
Alabama,2023,04,2.3
Alabama,2023,05,2.3
Alabama,2023,06,2.4
Alabama,2023,07,2.4
Alabama,2023,08,2.5
Alabama,2023,09,2.6
Alabama,2023,10,2.7
Alabama,2023,11,2.8
Alabama,2023,12,2.8
Alabama,2024,01,2.9
Alabama,2024,02,2.9
Alabama,2024,03,2.9
Alabama,2024,04,2.9
Alabama,2024,05,2.9
Alabama,2024,06,2.9
Alabama,2024,07,3.0
Alabama,2024,08,3.0
Alabama,2024,09,3.1
Alabama,2024,10,3.1
Alabama,2024,11,3.1
Alabama,2024,12,3.1
Alabama,2025,01,3.1
Alabama,2025,02,3.0
Alabama,2025,03,3.0
Alabama,2025,04,2.9
Alabama,2025,05,2.9
Alabama,2025,06,2.9
Alabama,2025,07,2.8
Alabama,2025,08,2.8
Alabama,2025,09,2.8
Alabama,2025,10,-
Alabama,2025,11,2.7
Alabama,2025,12,2.7
Alaska,2016,01,6.4
Alaska,2016,02,6.5
Alaska,2016,03,6.5
Alaska,2016,04,6.6
Alaska,2016,05,6.6
Alaska,2016,06,6.7
Alaska,2016,07,6.7
Alaska,2016,08,6.7
Alaska,2016,09,6.7
Alaska,2016,10,6.7
Alaska,2016,11,6.7
Alaska,2016,12,6.7
Alaska,2017,01,6.7
Alaska,2017,02,6.6
Alaska,2017,03,6.6
Alaska,2017,04,6.6
Alaska,2017,05,6.6
Alaska,2017,06,6.6
Alaska,2017,07,6.6
Alaska,2017,08,6.6
Alaska,2017,09,6.6
Alaska,2017,10,6.6
Alaska,2017,11,6.6
Alaska,2017,12,6.6
Alaska,2018,01,6.5
Alaska,2018,02,6.4
Alaska,2018,03,6.3
Alaska,2018,04,6.1
Alaska,2018,05,6.0
Alaska,2018,06,6.0
Alaska,2018,07,5.9
Alaska,2018,08,5.9
Alaska,2018,09,5.9
Alaska,2018,10,6.0
Alaska,2018,11,6.0
Alaska,2018,12,6.1
Alaska,2019,01,6.0
Alaska,2019,02,5.9
Alaska,2019,03,5.8
Alaska,2019,04,5.7
Alaska,2019,05,5.6
Alaska,2019,06,5.6
Alaska,2019,07,5.6
Alaska,2019,08,5.6
Alaska,2019,09,5.5
Alaska,2019,10,5.4
Alaska,2019,11,5.3
Alaska,2019,12,5.2
Alaska,2020,01,5.3
Alaska,2020,02,5.4
Alaska,2020,03,5.4
Alaska,2020,04,11.6
Alaska,2020,05,11.7
Alaska,2020,06,11.2
Alaska,2020,07,11.1
Alaska,2020,08,8.6
Alaska,2020,09,7.8
Alaska,2020,10,7.2
Alaska,2020,11,7.0
Alaska,2020,12,7.1
Alaska,2021,01,6.9
Alaska,2021,02,6.9
Alaska,2021,03,7.0
Alaska,2021,04,7.0
Alaska,2021,05,6.8
Alaska,2021,06,6.8
Alaska,2021,07,6.5
Alaska,2021,08,6.3
Alaska,2021,09,6.0
Alaska,2021,10,5.8
Alaska,2021,11,5.5
Alaska,2021,12,5.4
Alaska,2022,01,5.3
Alaska,2022,02,5.0
Alaska,2022,03,4.7
Alaska,2022,04,4.5
Alaska,2022,05,4.4
Alaska,2022,06,4.2
Alaska,2022,07,4.1
Alaska,2022,08,3.9
Alaska,2022,09,4.0
Alaska,2022,10,4.1
Alaska,2022,11,4.1
Alaska,2022,12,4.1
Alaska,2023,01,4.1
Alaska,2023,02,4.1
Alaska,2023,03,4.1
Alaska,2023,04,4.1
Alaska,2023,05,4.1
Alaska,2023,06,4.2
Alaska,2023,07,4.2
Alaska,2023,08,4.3
Alaska,2023,09,4.4
Alaska,2023,10,4.4
Alaska,2023,11,4.5
Alaska,2023,12,4.5
Alaska,2024,01,4.5
Alaska,2024,02,4.5
Alaska,2024,03,4.5
Alaska,2024,04,4.5
Alaska,2024,05,4.5
Alaska,2024,06,4.5
Alaska,2024,07,4.6
Alaska,2024,08,4.6
Alaska,2024,09,4.6
